Bougainvillea spectabilis ,Willd. var.alba plena,Nyctagynaceae,,,Bougainvillea spectabilis Willd.,SPECIES,Nyctaginaceae,Bougainvillea spectabilis,100,EXACT
Bougainvillea x buttiana ,Holtt. var. Mrs. McLean,Nyctagynaceae,,,"Bougainvillea Commerson ex A.L. Jussieu, 1789",GENUS,Nyctaginaceae,Bougainvillea,91,EXACT
Brahea armata, Wats.,Arecaceae,Brahea clara (L.H.Bailey) Espejo & López-Ferr.; Brahea roezlii Lind; Erythea armata S. Watson ; Erythea elegans Franceschi ex Becc.,,Brahea armata S.Watson,SPECIES,Arecaceae,Brahea armata,100,EXACT
Brahea dulcis ,L.,Arecaceae,,,Brahea dulcis (Kunth) Mart.,SPECIES,Arecaceae,Brahea dulcis,100,EXACT
Breynia nivosa ,Small.,Euphorbiaceae,Phyllanthus nivosus W.G.Sm.,,Breynia nivosa (W.Bull) Small,SPECIES,Phyllanthaceae,Breynia nivosa,100,EXACT
Caesalpinia pulcherrima ,Sw.,Caesalpiniaceae,Poinciana pulcherrima L.  ,,Caesalpinia pulcherrima (L.) Sw.,SPECIES,Fabaceae,Caesalpinia pulcherrima,100,EXACT
Caladium bicolor ,Vent.,Araceae,,,Caladium bicolor (Aiton) Vent.,SPECIES,Araceae,Caladium bicolor,100,EXACT
Caladium hortulanum ,Birdsey 'Citation',Araceae,,Orgeuil de Chine; Petit flamboyant,Caladium hortulanum Bridsey,SPECIES,Araceae,Caladium hortulanum,100,EXACT
Caladium hortulanum ,Birdsey 'Debutante',Araceae,,caladium,Caladium hortulanum Bridsey,SPECIES,Araceae,Caladium hortulanum,100,EXACT
Caladium hortulanum ,Birdsey 'Gen. W.B. Halderman',Araceae,,Cœur de Jésus,Caladium hortulanum Bridsey,SPECIES,Araceae,Caladium hortulanum,100,EXACT
Caladium hortulanum ,Birdsey 'John Peed',Araceae,,,Caladium hortulanum Bridsey,SPECIES,Araceae,Caladium hortulanum,100,EXACT
