Famille	Genres	name	Auteurs déterminateurs
Fabaceae	Vigna 	Vigna multinervis 	Hutch. & Dalziel
Fabaceae	Vigna 	Vigna racemosa 	(G. Don) Hutch. & Dalziel
Fabaceae	Vigna 	Vigna reticulata 	Hook.f.
Fabaceae	Vigna 	Vigna sinensis (L.) Endl. var. textilis	A. Chev.
Fabaceae	Vigna 	Vigna subterranea	 (L.) Verdc.
Fabaceae	Vigna 	Vigna unguiculata (L.) Walp. subsp. dekindtiana 	(Harms) Verdc.
Fabaceae	Vigna 	Vigna unguiculata (L.) Walp. subsp. unguiculata	
Fabaceae	Vigna 	Vigna vexillata (L.) A. Rich. var. vexillata	
Fabaceae	Xeroderris	Xeroderris stuhlmannii 	(Taub.) Mendoça & E.P. Sousa
Fabaceae	Zornia	Zornia durumuensis 	De Wild.
Fabaceae	Zornia	Zornia glochidiata 	Reichb. ex DC.
Fabaceae	Zornia	Zornia latifolia 	Sm.
